time_s,gps_x,gps_y,est_x,est_y,heading_deg,cmd_robot
8.393,NaN,NaN,0.000,0.000,0.00,stop
8.443,NaN,NaN,0.000,0.000,0.00,stop
8.493,NaN,NaN,0.000,0.000,0.00,stop
8.543,NaN,NaN,0.000,0.000,0.00,stop
8.593,NaN,NaN,0.000,0.000,0.00,stop
8.643,NaN,NaN,0.000,0.000,0.00,stop
8.693,NaN,NaN,0.000,0.000,0.00,stop
8.743,NaN,NaN,0.000,0.000,0.00,stop
8.793,NaN,NaN,0.000,0.000,0.00,stop
8.843,NaN,NaN,0.000,0.000,0.00,stop
8.893,NaN,NaN,0.000,0.000,0.00,stop
8.943,NaN,NaN,0.000,0.000,0.00,stop
8.993,NaN,NaN,0.000,0.000,0.00,stop
9.043,NaN,NaN,0.000,0.000,0.00,stop
9.093,NaN,NaN,0.000,0.000,0.00,stop
9.143,NaN,NaN,0.000,0.000,0.00,stop
9.193,NaN,NaN,0.000,0.000,0.00,stop
9.243,NaN,NaN,0.000,0.000,0.00,stop
9.293,NaN,NaN,0.000,0.000,0.00,stop
9.343,NaN,NaN,0.000,0.000,0.00,stop
9.393,NaN,NaN,0.000,0.000,0.00,stop
9.443,NaN,NaN,0.000,0.000,0.00,stop
9.493,NaN,NaN,0.000,0.000,0.00,stop
9.543,NaN,NaN,0.000,0.000,0.00,stop
9.593,NaN,NaN,0.000,0.000,0.00,stop
9.643,NaN,NaN,0.000,0.000,0.00,stop
9.693,NaN,NaN,0.000,0.000,0.00,stop
9.743,NaN,NaN,0.000,0.000,0.00,stop
9.793,NaN,NaN,0.000,0.000,0.00,stop
9.843,NaN,NaN,0.000,0.000,0.00,stop
9.893,NaN,NaN,0.000,0.000,0.00,stop
9.943,NaN,NaN,0.000,0.000,0.00,stop
9.993,NaN,NaN,0.000,0.000,0.00,stop
10.043,NaN,NaN,0.000,0.000,0.00,stop
10.093,NaN,NaN,0.000,0.000,0.00,stop
10.143,NaN,NaN,0.000,0.000,0.00,stop
10.193,NaN,NaN,0.000,0.000,0.00,stop
10.243,NaN,NaN,0.000,0.000,0.00,stop
10.293,NaN,NaN,0.000,0.000,0.00,stop
10.343,NaN,NaN,0.000,0.000,0.00,stop
10.393,NaN,NaN,0.000,0.000,0.00,stop
10.443,NaN,NaN,0.000,0.000,0.00,stop
10.493,NaN,NaN,0.000,0.000,0.00,stop
10.543,NaN,NaN,0.000,0.000,0.00,stop
10.593,NaN,NaN,0.000,0.000,0.00,stop
10.643,NaN,NaN,0.000,0.000,0.00,stop
10.693,NaN,NaN,0.000,0.000,0.00,stop
10.743,NaN,NaN,0.000,0.000,0.00,stop
10.793,NaN,NaN,0.000,0.000,0.00,stop
10.843,NaN,NaN,0.000,0.000,0.00,stop
10.893,NaN,NaN,0.000,0.000,0.00,stop
10.943,NaN,NaN,0.000,0.000,0.00,stop
10.993,NaN,NaN,0.000,0.000,0.00,stop
11.043,NaN,NaN,0.000,0.000,0.00,stop
11.093,NaN,NaN,0.000,0.000,0.00,stop
11.143,NaN,NaN,0.000,0.000,0.00,stop
11.193,NaN,NaN,0.000,0.000,0.00,stop
11.243,NaN,NaN,0.000,0.000,0.00,stop
11.293,NaN,NaN,0.000,0.000,0.00,stop
11.343,NaN,NaN,0.000,0.000,0.00,stop
11.393,NaN,NaN,0.000,0.000,0.00,stop
11.443,NaN,NaN,0.000,0.000,0.00,stop
11.493,NaN,NaN,0.000,0.000,0.00,stop
11.543,NaN,NaN,0.000,0.000,0.00,stop
11.593,NaN,NaN,0.000,0.000,0.00,stop
11.643,NaN,NaN,0.000,0.000,0.00,stop
11.693,NaN,NaN,0.000,0.000,0.00,stop
11.743,NaN,NaN,0.000,0.000,0.00,stop
11.793,NaN,NaN,0.000,0.000,0.00,stop
11.843,NaN,NaN,0.000,0.000,0.00,stop
11.893,NaN,NaN,0.000,0.000,0.00,stop
11.943,NaN,NaN,0.000,0.000,0.00,stop
11.993,NaN,NaN,0.000,0.000,0.00,stop
12.043,NaN,NaN,0.000,0.000,0.00,stop
12.093,NaN,NaN,0.000,0.000,0.00,stop
12.143,NaN,NaN,0.000,0.000,0.00,stop
12.193,NaN,NaN,0.000,0.000,0.00,stop
12.243,NaN,NaN,0.000,0.000,0.00,stop
12.293,NaN,NaN,0.000,0.000,0.00,stop
12.343,NaN,NaN,0.000,0.000,0.00,stop
12.393,NaN,NaN,0.000,0.000,0.00,stop
12.443,NaN,NaN,0.000,0.000,0.00,stop
12.493,NaN,NaN,0.000,0.000,0.00,stop
12.543,NaN,NaN,0.000,0.000,0.00,stop
12.593,NaN,NaN,0.000,0.000,0.00,stop
